"Player","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"Imrul Kayes ",2008,2018,78,78,21,21,21,0,0,2
"ND McKenzie ",2000,2009,64,64,21,21,21,0,0,3
"Manzoor Elahi ",1984,1995,54,54,21,21,21,0,0,2
"AF Milne ",2012,2017,40,39,21,21,21,0,0,3
"D Mongia ",2001,2007,57,56,21,21,21,0,0,3
"TM Moody ",1987,1999,76,76,21,21,21,0,0,2
"Mudassar Nazar ",1977,1989,122,119,21,21,21,0,0,2
"A Nel ",2001,2008,79,77,21,21,21,0,0,2
"IK Pathan ",2004,2012,120,118,21,21,21,0,0,1
"MSK Prasad ",1998,1999,17,17,21,14,0,14,7,5
"KAJ Roach ",2008,2019,92,90,21,21,21,0,0,2
"Samiullah Shinwari ",2009,2019,84,84,21,21,21,0,0,2
"OA Shah ",2001,2009,71,71,21,21,21,0,0,2
"RV Uthappa ",2006,2015,46,44,21,19,15,4,2,3
"AR White ",2006,2014,61,61,21,21,21,0,0,2
"AR Whittall ",1996,2000,63,63,21,21,21,0,0,3
"DJ Willey ",2015,2019,46,45,21,21,21,0,0,2
"Ashraf Ali ",1980,1985,16,16,20,17,0,17,3,3
